name,year,day,count,sum,mean,stdev,index
6,2014,141,2188,35725,16.327696526508227,6.776870870030935,10
6,2014,81,1188,319780,269.17508417508418,26.911964947140959,2
6,2014,105,1083,298291,275.43028624192061,40.06001368919663,0
7,2014,145,4594,361,0.078580757509795388,0.26908329947988618,10
7,2014,141,4594,24723,5.3815846756639099,4.3703716624952582,10
7,2014,81,1148,296537.5,258.3079268292683,29.956252915431914,2
7,2014,105,125,26803,214.42400000000001,41.462515890862136,0
8,2014,145,3523,320,0.090831677547544704,0.34811599627013706,10
8,2014,141,3523,20070,5.6968492761850698,4.1103234344769861,10
8,2014,105,960,264155,275.16145833333331,40.671088906903847,0
8,2014,81,1020,269660.5,264.37303921568628,23.973500660112418,2
1,2014,111,2466,0,0,0,10
1,2014,120,2466,6689,2.7124898621248987,2.2753621773727342,10
2,2014,111,5751,113,0.019648756737958614,0.13879006843651004,10
1,2014,89,488,37.234815288946265,0.076300851001939063,0.22535679807963699,4
2,2014,120,5751,6552,1.1392801251956182,0.81045127401753925,10
1,2014,121,2004,582873.5,290.8550399201597,11.625554288864464,2
3,2014,111,5603,0,0,0,10
3,2014,120,5603,17532,3.1290380153489203,0.94349605954015014,10
4,2014,111,7443,0,0,0,10
2,2014,89,112,-1.7311016169842333,-0.015456264437359226,0.029758401941905033,4
2,2014,121,305,75562.5,247.74590163934425,29.439271049480062,2
4,2014,120,7443,20259,2.7218863361547765,1.6063785557796393,10
5,2014,111,4554,0,0,0,10
3,2014,89,198,3.4691713060747134,0.017521067202397541,0.096455206758094103,4
3,2014,121,1885,514439,272.91193633952253,27.160793258207018,2
5,2014,120,4554,32534,7.1440491875274486,2.9843503294862215,10
4,2014,89,459,82.309252362683765,0.17932298989691453,0.33479960227739664,4
6,2014,111,2188,0,0,0,10
4,2014,121,2786,794148,285.04953338119168,21.046453802418966,2
6,2014,120,2188,11120,5.0822669104204756,3.4003973283891473,10
5,2014,89,2025,128.24825433503429,0.063332471276560137,0.22766687795876533,4
7,2014,111,4594,0,0,0,10
5,2014,121,2359,687892,291.60322170411189,11.402314073067947,2
6,2014,89,73,11.24931731048855,0.15410023712998014,0.29872137041760799,4
8,2014,111,3523,0,0,0,10
6,2014,121,1953,570323,292.02406554019456,12.098098535807187,2
7,2014,89,196,119.63962657067168,0.61040625801363102,0.47198746110633172,4
7,2014,121,922,245958,266.765726681128,27.974110609368164,2
8,2014,121,20,4598,229.90000000000001,27.263803843190978,2
7,2014,120,4594,10850,2.3617762298650415,1.2141890688433281,10
8,2014,120,3523,3549,1.0073800738007379,0.90065862267965013,10
1,2014,137,31,7050,227.41935483870967,27.104664749756218,2
1,2014,89,2466,31285,12.686536901865368,1.0515298061146889,10
2,2014,137,1461,388281.5,265.76420260095824,28.811371930117705,2
2,2014,89,5751,79980,13.907146583202922,5.509581547853867,10
3,2014,137,658,172427,262.04711246200606,34.822062659944962,2
